amount of files,code_session,time
1,loading df,0.5797877311706543
1,clean df,0.6693406105041504
1,filter by month,0.7926509380340576
1,filter by hour,0.24982905387878418
1,filter daily pattern,0.8420350551605225
1,filter by day of week,0.9174854755401611
1,detecting outliers,2.063077211380005
2,loading df,0.8209629058837891
2,clean df,0.7545945644378662
2,filter by month,1.0203320980072021
2,filter by hour,0.4596977233886719
2,filter daily pattern,1.34417724609375
2,filter by day of week,1.7513158321380615
2,detecting outliers,3.2505204677581787
3,loading df,1.3155755996704102
3,clean df,0.8704221248626709
3,filter by month,1.2718687057495117
3,filter by hour,0.6203906536102295
3,filter daily pattern,1.7343721389770508
3,filter by day of week,2.106504440307617
3,detecting outliers,4.774278163909912
4,loading df,1.5145623683929443
4,clean df,1.167701005935669
4,filter by month,2.034970998764038
4,filter by hour,0.8047459125518799
4,filter daily pattern,3.2321245670318604
4,filter by day of week,2.991234064102173
4,detecting outliers,6.496797800064087
5,loading df,1.6909453868865967
5,clean df,1.4416813850402832
5,filter by month,2.492457389831543
5,filter by hour,0.8305206298828125
5,filter daily pattern,3.2479963302612305
5,filter by day of week,4.23187780380249
5,detecting outliers,8.877386569976807
6,loading df,1.9029350280761719
6,clean df,1.5591771602630615
6,filter by month,3.0325815677642822
6,filter by hour,1.097055435180664
6,filter daily pattern,3.6106221675872803
6,filter by day of week,4.934244394302368
6,detecting outliers,13.113118886947632
7,loading df,2.864305257797241
7,clean df,2.472562074661255
7,filter by month,3.7496085166931152
7,filter by hour,1.8015737533569336
7,filter daily pattern,4.9673638343811035
7,filter by day of week,6.2013421058654785
7,detecting outliers,14.02347993850708
8,loading df,3.0494844913482666
8,clean df,2.5055031776428223
8,filter by month,3.8725390434265137
8,filter by hour,1.4017515182495117
8,filter daily pattern,5.148613214492798
8,filter by day of week,5.9494006633758545
8,detecting outliers,14.156591653823853
9,loading df,2.9942047595977783
9,clean df,2.6875405311584473
9,filter by month,3.5991411209106445
9,filter by hour,2.414682388305664
9,filter daily pattern,5.316992521286011
9,filter by day of week,6.445539951324463
9,detecting outliers,17.814951419830322
10,loading df,3.359849691390991
10,clean df,2.7042696475982666
10,filter by month,4.668790340423584
10,filter by hour,2.886654853820801
10,filter daily pattern,6.294863700866699
10,filter by day of week,7.931891441345215
10,detecting outliers,18.315338134765625
11,loading df,3.717843770980835
11,clean df,3.100677967071533
11,filter by month,5.615314960479736
11,filter by hour,3.691556692123413
11,filter daily pattern,6.269695520401001
11,filter by day of week,8.355438709259033
11,detecting outliers,25.47031021118164
12,loading df,5.074592590332031
12,clean df,4.005138158798218
12,filter by month,7.17677116394043
12,filter by hour,3.176870346069336
12,filter daily pattern,7.80868673324585
12,filter by day of week,8.760913610458374
12,detecting outliers,24.371533155441284