"id","pesid","data_inversa","dia_semana","horario","uf","br","km","municipio","causa_acidente","tipo_acidente","classificacao_acidente","fase_dia","sentido_via","condicao_metereologica","tipo_pista","tracado_via","uso_solo","id_veiculo","tipo_veiculo","marca","ano_fabricacao_veiculo","tipo_envolvido","estado_fisico","idade","sexo","nacionalidade","naturalidade"
10,647938,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Condutor","Ileso       ",23,"Masculino","Brasil","Tres Coracoes"
10,647938,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Condutor","Ileso       ",23,"Masculino","Brasil","Tres Coracoes"
10,648468,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",44,"Masculino","Brasil","Não Informado"
10,648468,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",44,"Masculino","Brasil","Não Informado"
10,648470,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",10,"Feminino","Brasil","Não Informado"
10,648470,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",10,"Feminino","Brasil","Não Informado"
10,648471,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",39,"Masculino","Brasil","Itapecerica"
10,648471,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","439395","Automóvel","GM/CLASSIC LIFE","2005","Passageiro","Ferido Leve ",39,"Masculino","Brasil","Itapecerica"
10,2068191,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","1204697","Automóvel","FIAT/UNO MILLE FIRE FLEX","2008","Condutor","Ileso       ",NA,NA,NA,NA
10,2068191,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","1204697","Automóvel","FIAT/UNO MILLE FIRE FLEX","2008","Condutor","Ileso       ",NA,NA,NA,NA
10,2798925,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","2546752","Camioneta","VW/SAVEIRO GL 1.8                                 ","1992","Condutor","Ileso       ",NA,NA,NA,NA
10,2798925,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","2546752","Camioneta","VW/SAVEIRO GL 1.8                                 ","1992","Condutor","Ileso       ",NA,NA,NA,NA
10,2894820,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","2598267","Automóvel","(null)","1968","Condutor","Ileso       ",NA,NA,NA,NA
10,2894820,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","2598267","Automóvel","(null)","1968","Condutor","Ileso       ",NA,NA,NA,NA
10,3196042,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","2759300","Automóvel","VW/PARATI 1.6","2008","Condutor","Ileso       ",NA,NA,NA,NA
10,3196042,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","2759300","Automóvel","VW/PARATI 1.6","2008","Condutor","Ileso       ",NA,NA,NA,NA
10,4971879,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","18739144","Automóvel","VW/PARATI 1.8 TOUR","2002","Passageiro","Ferido Leve ",NA,NA,NA,NA
10,4971879,"11/06/2007","Segunda","15:30:00","MG","381","623.2","OLIVEIRA","Falta de atenção","Colisão frontal","(null)","Pleno dia","Decrescente","Ceu Claro","Dupla   ","Reta      ","Rural ","18739144","Automóvel","VW/PARATI 1.8 TOUR","2002","Passageiro","Ferido Leve ",NA,NA,NA,NA
173714,446400,"01/01/2007","Segunda","00:03:00","RJ","116","305.5","RESENDE","Animais na Pista","Atropelamento de animal","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Urbano","328054","Automóvel","FIAT/TEMPRA IE                                    ","1996","Condutor","Ileso       ",59,"Masculino","Brasil","Resende"
173715,446406,"01/01/2007","Segunda","00:50:00","RJ","101","321.5","NITEROI","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Chuva","Dupla   ","Reta      ","Urbano","328061","Automóvel","FIAT/PALIO EX                                     ","1999","Condutor","Ileso       ",24,"Masculino","Brasil","Não Informado"
173715,447594,"01/01/2007","Segunda","00:50:00","RJ","101","321.5","NITEROI","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Chuva","Dupla   ","Reta      ","Urbano","328059","Automóvel","VW/POLO 2.0","1999","Condutor","Ileso       ",20,"Masculino","Brasil","Sarandi"
173720,446413,"01/01/2007","Segunda","01:45:00","RS","158","311.7","ITAARA","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Ceu Claro","Simples ","Reta      ","Urbano","328065","Automóvel","FIAT/UNO ELECTRONIC                               ","1995","Condutor","Ileso       ",34,"Masculino","Brasil","Cacequi"
173720,446416,"01/01/2007","Segunda","01:45:00","RS","158","311.7","ITAARA","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Ceu Claro","Simples ","Reta      ","Urbano","328067","Automóvel","GM/KADETT SL/E EFI                                ","1992","Condutor","Ileso       ",22,"Masculino","Brasil","Cacequi"
173720,446419,"01/01/2007","Segunda","01:45:00","RS","158","311.7","ITAARA","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Ceu Claro","Simples ","Reta      ","Urbano","328069","Automóvel","RENAULT/CLIO EXP 16 16VH","2006","Condutor","Ileso       ",31,"Masculino","Brasil","Cacequi"
173720,446425,"01/01/2007","Segunda","01:45:00","RS","158","311.7","ITAARA","Não guardar distância de segurança","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Ceu Claro","Simples ","Reta      ","Urbano","328070","Automóvel","GM/VECTRA CD                                      ","1999","Condutor","Ileso       ",32,"Masculino","Brasil","Não Informado"
173726,446438,"01/01/2007","Segunda","00:50:00","MG","116","574.9","MANHUACU","Animais na Pista","Atropelamento de animal","Sem Vítimas        ","Plena noite","Crescente  ","Nublado","Simples ","Reta      ","Rural ","328081","Automóvel","FIAT/PALIO WK ADVEN FLEX","2005","Condutor","Ileso       ",33,"Masculino","Brasil","Manhuacu"
173726,446441,"01/01/2007","Segunda","00:50:00","MG","116","574.9","MANHUACU","Animais na Pista","Atropelamento de animal","Sem Vítimas        ","Plena noite","Crescente  ","Nublado","Simples ","Reta      ","Rural ","(null)","(null)","(null)","(null)","Autor","Ileso       ",NA,NA,NA,NA
173730,446452,"01/01/2007","Segunda","00:05:00","MG","116","532.1","CARATINGA","Velocidade incompatível","Saída de Pista","Sem Vítimas        ","Plena noite","Crescente  ","Nublado","Simples ","Curva     ","Rural ","328085","Automóvel","FORD/VERSAILLES 2.0 GL                            ","1993","Condutor","Ileso       ",27,"Masculino","Brasil","Inhapim"
173734,446467,"01/01/2007","Segunda","02:00:00","MG","381","212.5","BELO ORIENTE","Falta de atenção","Colisão Transversal","Com Vítimas Feridas","Plena noite","Decrescente","Nublado","Simples ","Reta      ","Rural ","328091","Automóvel","FIAT/DOBLO ELX","2002","Condutor","Ileso       ",56,"Masculino","Brasil","Belo Oriente"
173734,452279,"01/01/2007","Segunda","02:00:00","MG","381","212.5","BELO ORIENTE","Falta de atenção","Colisão Transversal","Com Vítimas Feridas","Plena noite","Decrescente","Nublado","Simples ","Reta      ","Rural ","328093","(null)","YAMAHA/YBR 125K","    ","Condutor","Ferido Grave",24,"Masculino","Brasil","Coronel Fabriciano"
173737,446472,"01/01/2007","Segunda","02:00:00","SP","116","550.8","BARRA DO TURVO","Outras","Tombamento","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Simples ","Curva     ","Rural ","328094","Caminhão","VW/15180 EOD NEOBUS MEGA","2004","Condutor","Ileso       ",27,"Masculino","Brasil","Guaramirim"
173739,446482,"01/01/2007","Segunda","02:30:00","SP","116","147.9","SAO JOSE DOS CAMPOS","Defeito mecânico em veículo","Colisão lateral","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Urbano","328097","Camioneta","GM/S10 DE LUXE 4.3 E 4X4","1998","Condutor","Ileso       ",56,"Masculino","Brasil","Jambeiro"
173739,446486,"01/01/2007","Segunda","02:30:00","SP","116","147.9","SAO JOSE DOS CAMPOS","Defeito mecânico em veículo","Colisão lateral","Sem Vítimas        ","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Urbano","328098","Automóvel","FORD/ESCORT L                                     ","1994","Condutor","Ileso       ",38,"Masculino","Brasil","Sao Jose Dos Campos"
173740,446496,"01/01/2007","Segunda","00:40:00","MG","40","637","CONSELHEIRO LAFAIETE","Animais na Pista","Atropelamento de animal","Com Vítimas Feridas","Plena noite","Crescente  ","Chuva","Simples ","Reta      ","Rural ","328099","Automóvel","(null)","2000","Condutor","Ferido Leve ",21,"Masculino","Brasil","Conselheiro Lafaiete"
173741,446494,"01/01/2007","Segunda","03:20:00","RJ","116","167","SAO JOAO DE MERITI","Outras","Colisão com objeto fixo","Sem Vítimas        ","Plena noite","Decrescente","Chuva","Simples ","Reta      ","Urbano","328102","Caminhonete","GM/S10                                            ","2006","Condutor","Ileso       ",27,"Masculino","Brasil","Não Informado"
173742,446492,"01/01/2007","Segunda","02:20:00","MG","381","936.4","EXTREMA","Outras","Atropelamento de pessoa","Com Vítimas Fatais ","Plena noite","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","328101","Automóvel","VW/FOX 1.0 PLUS","2006","Condutor","Ileso       ",51,"Masculino","Brasil","Atibaia"
173742,446498,"01/01/2007","Segunda","02:20:00","MG","381","936.4","EXTREMA","Outras","Atropelamento de pessoa","Com Vítimas Fatais ","Plena noite","Decrescente","Chuva","Dupla   ","Reta      ","Rural ","(null)","(null)","(null)","(null)","Pedestre","Morto       ",34,"Masculino","Brasil","Jundiai"
173743,446500,"01/01/2007","Segunda","02:55:00","RJ","40","119","DUQUE DE CAXIAS","Velocidade incompatível","Colisão traseira","Com Vítimas Feridas","Plena noite","Decrescente","Chuva","Múltipla","Reta      ","Urbano","328104","Camioneta","VW/SAVEIRO 1.6","1999","Condutor","Ferido Leve ",20,"Masculino","Brasil","Não Informado"
173743,446503,"01/01/2007","Segunda","02:55:00","RJ","40","119","DUQUE DE CAXIAS","Velocidade incompatível","Colisão traseira","Com Vítimas Feridas","Plena noite","Decrescente","Chuva","Múltipla","Reta      ","Urbano","328106","Automóvel","VW/VOYAGE                                         ","1988","Condutor","Ileso       ",27,"Masculino","Brasil","Não Informado"
173746,446511,"01/01/2007","Segunda","02:20:00","RN","101","75","EXTREMOZ","Falta de atenção","Saída de Pista","Sem Vítimas        ","Plena noite","Crescente  ","Ceu Claro","Simples ","Cruzamento","Rural ","328112","Camioneta","I/MMC PAJERO SPORT 4X4","1999","Condutor","Ileso       ",40,"Masculino","Brasil","Não Informado"
173748,451256,"01/01/2007","Segunda","04:00:00","SC","280","25","ARAQUARI","Velocidade incompatível","Capotamento","Com Vítimas Feridas","Plena noite","Decrescente","Nublado","Simples ","Reta      ","Rural ","330622","Automóvel","GM/CORSA WIND                                     ","1999","Condutor","Ferido Grave",56,"Masculino","Brasil","Rio Do Oeste"
173749,446512,"01/01/2007","Segunda","04:15:00","PR","277","594.1","CASCAVEL","Falta de atenção","Colisão Transversal","Sem Vítimas        ","Plena noite","Crescente  ","Ceu Claro","Simples ","Reta      ","Urbano","328111","Automóvel","FIAT/147                                          ","1984","Condutor","Ignorado    ",-1,"Não Informado","Brasil","Não Informado"
173749,446514,"01/01/2007","Segunda","04:15:00","PR","277","594.1","CASCAVEL","Falta de atenção","Colisão Transversal","Sem Vítimas        ","Plena noite","Crescente  ","Ceu Claro","Simples ","Reta      ","Urbano","328113","Automóvel","VW/PASSAT                                         ","1986","Condutor","Ileso       ",35,"Masculino","Brasil","Cruzeiro Do Oeste"
173750,446515,"01/01/2007","Segunda","04:56:00","MG","40","45","PARACATU","Velocidade incompatível","Colisão traseira","Sem Vítimas        ","Plena noite","Decrescente","Nublado","Simples ","Reta      ","Urbano","328115","Automóvel","I/CITROEN XSARA GLX 1.6I","2001","Condutor","Ileso       ",60,"Masculino","Brasil","Não Informado"
173751,448094,"01/01/2007","Segunda","01:00:00","SC","470","69.5","INDAIAL","Falta de atenção","Saída de Pista","Com Vítimas Feridas","Plena noite","Decrescente","Chuva","Simples ","Cruzamento","Urbano","328947","Automóvel","GM/ASTRA SEDAN CONFORT","2004","Condutor","Ileso       ",51,"Masculino","Brasil","Não Informado"
173751,448134,"01/01/2007","Segunda","01:00:00","SC","470","69.5","INDAIAL","Falta de atenção","Saída de Pista","Com Vítimas Feridas","Plena noite","Decrescente","Chuva","Simples ","Cruzamento","Urbano","328947","Automóvel","GM/ASTRA SEDAN CONFORT","2004","Passageiro","Ferido Leve ",20,"Feminino","Brasil","Rodeio"
173755,447645,"01/01/2007","Segunda","01:00:00","SC","470","99.4","APIUNA","Falta de atenção","Colisão Transversal","Com Vítimas Feridas","Plena noite","Crescente  ","Nublado","Simples ","Reta      ","Urbano","328658","Motocicletas","YAMAHA/YBR 125E","2003","Condutor","Ferido Leve ",19,"Masculino","Brasil","Jaragua Do Sul"
173755,447721,"01/01/2007","Segunda","01:00:00","SC","470","99.4","APIUNA","Falta de atenção","Colisão Transversal","Com Vítimas Feridas","Plena noite","Crescente  ","Nublado","Simples ","Reta      ","Urbano","328667","Automóvel","FIAT/PALIO ELX","2000","Condutor","Ileso       ",19,"Masculino","Brasil","Indaial"
173755,447770,"01/01/2007","Segunda","01:00:00","SC","470","99.4","APIUNA","Falta de atenção","Colisão Transversal","Com Vítimas Feridas","Plena noite","Crescente  ","Nublado","Simples ","Reta      ","Urbano","328658","Motocicletas","YAMAHA/YBR 125E","2003","Passageiro","Ferido Grave",15,"Feminino","Brasil","Sao Francisco Do Sul"
173756,451495,"01/01/2007","Segunda","02:30:00","PR","277","70.5","SAO JOSE DOS PINHAIS","Outras","Colisão traseira","Com Vítimas Feridas","Plena noite","Crescente  ","Chuva","Dupla   ","Reta      ","Rural ","330726","Automóvel","FORD/DEL REY BELINA GLX                           ","1988","Condutor","Ileso       ",46,"Masculino","Brasil","Não Informado"
