t_rel,cpu_pct,cpu_pct_host,proc_cpu_raw,cont_mem_used_gb,proc_rss_gb,ram_used_host_gb,gpu_util_pct,gpu_mem_gb,round
0.0031528472900390625,0.0,0.0,0.0,13.273921966552734,2.7596359252929688,12.934989929199219,100.0,3.98150634765625,1
1.0035266876220703,93.2,20.6,186.4,15.87960433959961,5.358699798583984,15.500713348388672,2.0,3.9998779296875,1
2.0040550231933594,77.45,17.5,154.9,15.706409454345703,5.424491882324219,15.894950866699219,100.0,3.99530029296875,1
3.0063865184783936,93.4,18.7,186.8,15.579708099365234,5.706012725830078,16.133495330810547,100.0,3.99261474609375,1
4.00886607170105,93.25,18.7,186.5,15.56515884399414,5.886066436767578,15.8299560546875,82.0,3.9849853515625,1
5.009435176849365,89.85,21.1,179.7,15.950092315673828,6.441429138183594,16.554851531982422,90.0,3.97686767578125,1
6.00981330871582,89.45,17.7,178.9,15.96200180053711,6.480091094970703,16.81768798828125,100.0,3.9462890625,1
7.0133056640625,93.35,25.6,186.7,15.8802490234375,6.530220031738281,16.018661499023438,100.0,3.96002197265625,1
8.016412019729614,86.75,18.9,173.5,15.761856079101562,6.430732727050781,16.74750518798828,100.0,3.96875,1
9.016833543777466,86.3,19.3,172.6,15.309440612792969,6.499279022216797,17.03725814819336,100.0,3.9964599609375,1
10.017484903335571,93.45,20.1,186.9,15.43075180053711,6.462730407714844,16.790733337402344,100.0,3.99835205078125,1
11.017942428588867,91.45,19.0,182.9,15.76351547241211,6.7278900146484375,16.952259063720703,100.0,4.00152587890625,1
12.018420457839966,92.95,19.4,185.9,15.895317077636719,7.109477996826172,17.00204849243164,100.0,4.00738525390625,1
13.018878698348999,94.45,19.1,188.9,15.676898956298828,7.078960418701172,17.080692291259766,100.0,4.00628662109375,1
14.019325256347656,90.45,18.9,180.9,15.97650146484375,7.35888671875,17.48006820678711,100.0,3.9842529296875,1
15.02320909500122,94.15,19.4,188.3,15.896759033203125,7.3328704833984375,17.449474334716797,100.0,3.98291015625,1
16.023714542388916,92.45,26.4,184.9,15.586933135986328,6.828510284423828,17.14376449584961,100.0,3.9830322265625,1
17.024270057678223,95.95,24.1,191.9,15.979000091552734,7.09661865234375,17.183364868164062,100.0,3.9776611328125,1
18.024702072143555,91.95,20.7,183.9,15.75528335571289,7.198070526123047,17.33475112915039,97.0,4.01220703125,1
19.025245428085327,85.95,20.5,171.9,15.71329116821289,7.039951324462891,17.227779388427734,100.0,4.01220703125,1
20.02562975883484,82.45,18.5,164.9,14.568294525146484,5.865013122558594,16.222896575927734,100.0,4.01220703125,1
21.02620530128479,74.45,15.8,148.9,13.869453430175781,5.153049468994141,15.597877502441406,100.0,4.013427734375,1
0.0001709461212158203,0.0,0.0,0.0,13.133419036865234,4.419727325439453,14.913597106933594,53.0,4.01019287109375,2
1.0005464553833008,95.45,19.6,190.9,15.934471130371094,6.484607696533203,16.317363739013672,2.0,3.984375,2
2.012200117111206,96.45,23.3,192.9,15.900775909423828,6.753517150878906,16.691158294677734,99.0,3.9771728515625,2
3.0154316425323486,90.9,25.9,181.8,15.984081268310547,6.875995635986328,17.120574951171875,100.0,4.0086669921875,2
4.01584005355835,92.75,19.6,185.5,15.881156921386719,7.0668792724609375,17.444103240966797,100.0,4.00335693359375,2
5.016475677490234,92.45,21.0,184.9,15.974517822265625,7.416831970214844,17.528011322021484,100.0,4.0032958984375,2
6.0170063972473145,92.95,20.1,185.9,15.66501235961914,7.357692718505859,17.756912231445312,100.0,4.0081787109375,2
7.0173890590667725,98.45,21.0,196.9,15.811553955078125,7.6970062255859375,17.87076187133789,100.0,4.0067138671875,2
8.017961502075195,93.95,20.9,187.9,15.76266098022461,7.728992462158203,17.984580993652344,100.0,3.97906494140625,2
9.018371343612671,90.45,18.1,180.9,15.908828735351562,7.987739562988281,17.877239227294922,100.0,3.97174072265625,2
10.018750667572021,89.45,17.8,178.9,15.87948989868164,7.934055328369141,17.833721160888672,100.0,3.939697265625,2
11.019135475158691,91.95,24.6,183.9,15.896087646484375,7.916748046875,18.123844146728516,83.0,3.90936279296875,2
12.020664691925049,85.95,17.1,171.9,15.971508026123047,8.153358459472656,18.167118072509766,100.0,3.8890380859375,2
13.023024320602417,91.85,18.4,183.7,15.748291015625,8.07802963256836,18.099925994873047,100.0,3.877197265625,2
14.02340841293335,91.35,18.4,182.7,15.68514633178711,8.31393051147461,18.307403564453125,100.0,3.877197265625,2
15.023954391479492,92.95,18.4,185.9,15.674736022949219,8.364021301269531,18.321022033691406,90.0,3.877197265625,2
16.024503469467163,92.45,18.6,184.9,15.597175598144531,8.170547485351562,18.434093475341797,100.0,3.877197265625,2
17.025046586990356,92.45,18.2,184.9,15.689041137695312,8.073196411132812,18.119712829589844,100.0,3.877197265625,2
18.02550506591797,85.95,17.1,171.9,15.654613494873047,7.7850494384765625,17.769493103027344,100.0,3.877197265625,2
19.02604103088379,79.95,16.3,159.9,15.072311401367188,7.1674652099609375,17.376296997070312,100.0,3.879638671875,2
20.026418209075928,82.95,20.8,165.9,14.64426040649414,6.708690643310547,16.966079711914062,100.0,3.88031005859375,2
0.00020647048950195312,0.0,0.0,0.0,12.508384704589844,4.5623626708984375,14.84073257446289,94.0,3.8797607421875,3
1.0024003982543945,95.45,20.3,190.9,15.659652709960938,6.435211181640625,16.487133026123047,2.0,3.903564453125,3
2.016928195953369,90.55,18.6,181.1,15.996219635009766,6.504383087158203,16.6654052734375,100.0,3.90240478515625,3
3.017642021179199,92.95,18.7,185.9,15.968521118164062,6.585792541503906,16.7392578125,100.0,3.90228271484375,3
4.018218755722046,89.45,17.8,178.9,15.489852905273438,6.380046844482422,16.762920379638672,100.0,3.90185546875,3
5.018601417541504,89.95,18.0,179.9,15.502330780029297,6.7443695068359375,17.234817504882812,100.0,3.89837646484375,3
6.019176006317139,92.45,19.0,184.9,15.474742889404297,6.8741912841796875,17.139598846435547,100.0,3.8790283203125,3
7.055265665054321,91.4,20.0,182.8,15.461723327636719,6.873462677001953,17.259925842285156,100.0,3.8814697265625,3
8.055748462677002,87.8,18.5,175.6,15.998050689697266,7.203865051269531,17.347137451171875,100.0,3.8814697265625,3
9.056122779846191,87.95,18.2,175.9,15.797157287597656,7.220184326171875,17.716033935546875,72.0,3.881591796875,3
10.120133399963379,90.4,19.0,180.8,15.926822662353516,7.288295745849609,17.28008270263672,100.0,3.881591796875,3
11.120803833007812,85.25,18.4,170.5,15.497417449951172,6.916141510009766,17.001110076904297,82.0,3.88134765625,3
12.121194124221802,87.95,17.5,175.9,15.442852020263672,7.138713836669922,17.393173217773438,87.0,3.8812255859375,3
13.121583700180054,90.95,17.9,181.9,15.270076751708984,7.033416748046875,17.4830322265625,100.0,3.8812255859375,3
14.122134685516357,87.95,19.2,175.9,15.998786926269531,7.8042755126953125,17.643516540527344,82.0,3.9002685546875,3
15.122605323791504,88.95,20.1,177.9,15.86928939819336,7.532474517822266,17.746097564697266,93.0,3.9169921875,3
16.125713348388672,90.85,30.7,181.7,15.76236343383789,7.3960723876953125,17.409976959228516,99.0,3.94970703125,3
17.13243007659912,88.9,18.0,177.8,15.997314453125,7.611366271972656,17.79131317138672,100.0,3.947998046875,3
18.13308835029602,91.35,18.1,182.7,15.885791778564453,7.759254455566406,18.202167510986328,98.0,3.9476318359375,3
19.133628845214844,84.95,18.2,169.9,15.532695770263672,7.286388397216797,17.13003921508789,98.0,3.94744873046875,3
20.134196996688843,80.95,16.1,161.9,15.022640228271484,6.745052337646484,16.831615447998047,100.0,3.94580078125,3
21.134718894958496,73.45,14.8,146.9,14.406429290771484,6.115333557128906,16.508834838867188,100.0,3.89251708984375,3
